Campaign Member ID,Contact ID,Campaign Name,Last Touch Channel,Campaign Response Date,Interaction Status,Account Type,Account Tier,Region,Meeting Booked,Meeting Booked Date,Opportunity ID,Timestamp Date Qualified,Pipeline Revenue Share,Opportunity Stage,Closed Won CARR,AE Owner
CM-12009,CON-52009,CY26 Q1 - Email - Case Study McCready Law,Email Marketing,2026-02-02,Clicked,Prospect,Tier 2,Southwest,No,,,,,,,Rachel Torres
CM-11008,CON-51008,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-08,Gift Delivered,Prospect,Tier 2,Southeast,No,,,,,,,Marcus Webb
CM-11060,CON-51060,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-11,Gift Delivered,Churned,Enterprise,West,Yes,2026-03-03,OPP-80145,2026-03-06,129700.0,Closed Lost,,Rachel Torres
CM-10298,CON-50298,CY26 Q1 - Hosted - Cleveland Cavaliers vs NY Knicks - 2026-02-24,Hosted Events,2026-02-22,Attended,Prospect,Enterprise,West,No,,,,,,,James O'Brien
CM-10022,CON-50022,CY26 Q1 - Hosted - AAJ Yacht Party - 2026-02-21,Hosted Events,2026-02-19,Attended,Prospect,Tier 1,Midwest,Yes,2026-03-03,,,,,,David Kim
CM-11255,CON-51255,CY26 Q1 direct-mail-1many-journal-socks (2/20/2026),Direct Mail,2026-02-18,Gift Delivered,Prospect,Enterprise,Southeast,Yes,2026-03-02,,,,,,Marcus Webb
CM-12300,CON-52300,[Paid Social],Paid Social,2026-01-30,-,Customer,Tier 1,Southwest,No,,,,,,,Marcus Webb
CM-10554,CON-50554,CY26 Q1 direct-mail-1few-citrus-golf (1/22/26),Direct Mail,2026-01-20,-,Customer,Tier 1,Midwest,No,,,,,,,James O'Brien
CM-11280,CON-51280,CY26 Q1 direct-mail-1many-oreos-6pack (2/20/2026),Direct Mail,2026-02-23,Gift Delivered,Prospect,Tier 1,Southwest,No,,,,,,,David Kim
CM-10605,CON-50605,CY26 Q1 direct-mail-1few-citrus-golf (1/22/26),Direct Mail,2026-01-21,-,Churned,Tier 2,Southwest,No,,,,,,,James O'Brien
CM-11435,CON-51435,CY26 Q1 direct-mail-1many-milkbar-cake (1/29/26),Direct Mail,2026-01-30,-,Prospect,Enterprise,Midwest,No,,,,,,,James O'Brien
CM-10301,CON-50301,CY26 Q1 - Hosted - Cleveland Cavaliers vs NY Knicks - 2026-02-24,Hosted Events,2026-02-22,Registered,Prospect,Tier 2,Southeast,No,,,,,,,Sarah Mitchell
CM-10268,CON-50268,CY26 Q1 - Hosted - Chicago Bears Wild Card - 2026-01-10,Hosted Events,2026-01-09,No Show,Customer,Tier 1,Northeast,No,,,,,,,Rachel Torres
CM-12080,CON-52080,CY26 Q1 - Email - Express Demands Launch,Email Marketing,2026-03-01,Opened,Prospect,Enterprise,Midwest,No,,,,,,,Marcus Webb
CM-10611,CON-50611,CY26 Q1 direct-mail-1few-citrus-golf (1/22/26),Direct Mail,2026-01-24,Gift Delivered,Prospect,Tier 2,Northeast,No,,,,,,,Marcus Webb
CM-10349,CON-50349,CY26 Q1 - Hosted - Columbus Blue Jackets - 2026-01-28,Hosted Events,2026-01-31,Attended,Prospect,Tier 2,Midwest,Yes,2026-02-12,OPP-80076,2026-02-23,108800.0,Negotiation,,James O'Brien
CM-10240,CON-50240,CY26 Q1 - Hosted - Chicago Bears Wild Card - 2026-01-10,Hosted Events,2026-01-10,Attended,Churned,Tier 1,Midwest,No,,,,,,,James O'Brien
CM-11598,CON-51598,CY26 Q1 - Industry - AAJ Winter Convention,Industry Events,2026-02-09,Registered,Prospect,Tier 2,Northeast,No,,,,,,,Sarah Mitchell
CM-10140,CON-50140,CY26 Q1 - Hosted - Boston Bruins vs NY Rangers - 2026-01-10,Hosted Events,2026-01-13,Attended,Prospect,Tier 1,Midwest,No,,,,,,,Rachel Torres
CM-11857,CON-51857,CY26 Q1 - Webinar - Settlement Benchmarks Report,Webinar,2026-02-17,No Show,Prospect,Tier 2,Southwest,No,,,,,,,Rachel Torres
CM-12399,CON-52399,[Organic Search],Organic Search,2026-02-14,-,Prospect,Enterprise,Southeast,No,,,,,,,Sarah Mitchell
CM-11399,CON-51399,CY26 Q1 direct-mail-1many-milkbar-cake (1/29/26),Direct Mail,2026-02-02,Gift Delivered,Prospect,Tier 2,Southwest,No,,,,,,,James O'Brien
CM-10415,CON-50415,CY26 Q1 - Hosted - Florida Panthers - 2026-02-04,Hosted Events,2026-02-04,Attended,Prospect,Tier 1,Southwest,No,,,,,,,Sarah Mitchell
CM-10901,CON-50901,CY26 Q1 direct-mail-1many-desk-clock (2/20/2026),Direct Mail,2026-02-22,Gift Delivered,Prospect,Tier 2,West,No,,,,,,,Rachel Torres
CM-10340,CON-50340,CY26 Q1 - Hosted - Columbus Blue Jackets - 2026-01-28,Hosted Events,2026-01-27,Attended,Prospect,Tier 2,West,Yes,2026-02-16,,,,,,James O'Brien
CM-11710,CON-51710,CY26 Q1 - Industry - Mass Torts Made Perfect,Industry Events,2026-03-06,Attended,Prospect,Tier 2,Midwest,No,,,,,,,David Kim
CM-11889,CON-51889,CY26 Q1 - Webinar - Settlement Benchmarks Report,Webinar,2026-02-17,Registered,Customer,Tier 1,Southeast,No,,,,,,,Marcus Webb
CM-12186,CON-52186,[Paid Search],Paid Search,2026-03-07,-,Prospect,Tier 1,West,No,,,,,,,Marcus Webb
CM-10541,CON-50541,CY26 Q1 - Hosted - Hurricanes vs Detroit Red Wings - 2026-02-28,Hosted Events,2026-03-01,Attended,Prospect,Enterprise,Southwest,Yes,2026-03-20,OPP-80120,2026-03-31,279900.0,Closed Lost,,Rachel Torres
CM-10062,CON-50062,CY26 Q1 - Hosted - ATL Peach Bowl - 2026-01-09,Hosted Events,2026-01-09,Attended,Customer,Tier 1,Northeast,No,,,,,,,James O'Brien
CM-10473,CON-50473,CY26 Q1 - Hosted - HMR After Dark Party - 2026-01-26,Hosted Events,2026-01-26,Attended,Customer,Enterprise,Southeast,No,,,,,,,James O'Brien
CM-11963,CON-51963,CY26 Q1 - Email - January Product Update,Email Marketing,2026-01-07,Clicked,Prospect,Tier 2,Northeast,No,,,,,,,Sarah Mitchell
CM-11050,CON-51050,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-07,Gift Delivered,Prospect,Enterprise,Southwest,No,,,,,,,James O'Brien
CM-11543,CON-51543,CY26 Q1 - Industry - NTL Miami Conference,Industry Events,2026-01-18,Visited Booth,Prospect,Tier 1,Southwest,No,,,,,,,Sarah Mitchell
CM-10280,CON-50280,CY26 Q1 - Hosted - Chicago Blackhawks - 2026-02-09,Hosted Events,2026-02-12,Attended,Prospect,Enterprise,West,No,,,,,,,Marcus Webb
CM-10789,CON-50789,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-08,-,Prospect,Tier 2,West,No,,,,,,,Rachel Torres
CM-12397,CON-52397,[Organic Search],Organic Search,2026-01-14,-,Churned,Tier 2,Southwest,No,,,,,,,Marcus Webb
CM-11154,CON-51154,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-08,Gift Delivered,Churned,Enterprise,Midwest,No,,,,,,,Sarah Mitchell
CM-11097,CON-51097,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-04,Gift Delivered,Prospect,Enterprise,West,No,,,,,,,Marcus Webb
CM-10709,CON-50709,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-06,Gift Delivered,Prospect,Tier 1,West,No,,,,,,,Marcus Webb
CM-11228,CON-51228,CY26 Q1 direct-mail-1many-journal-socks (2/20/2026),Direct Mail,2026-02-18,Gift Delivered,Prospect,Tier 2,Southwest,Yes,2026-03-09,,,,,,Sarah Mitchell
CM-10902,CON-50902,CY26 Q1 direct-mail-1many-desk-clock (2/20/2026),Direct Mail,2026-02-21,-,Churned,Enterprise,Midwest,No,,,,,,,James O'Brien
CM-10283,CON-50283,CY26 Q1 - Hosted - Chicago Blackhawks - 2026-02-09,Hosted Events,2026-02-13,Attended,Customer,Tier 1,Northeast,No,,,,,,,David Kim
CM-12323,CON-52323,[Paid Social],Paid Social,2026-01-20,-,Prospect,Tier 2,Northeast,No,,,,,,,Marcus Webb
CM-12161,CON-52161,[Paid Search],Paid Search,2026-03-16,-,Prospect,Enterprise,Southwest,No,,,,,,,Rachel Torres
CM-10129,CON-50129,CY26 Q1 - Hosted - Boston Bruins vs NY Rangers - 2026-01-10,Hosted Events,2026-01-15,Attended,Prospect,Tier 2,Southeast,No,,,,,,,Rachel Torres
CM-10637,CON-50637,CY26 Q1 direct-mail-1few-yeti-cooler (2/14/26),Direct Mail,2026-02-12,Gift Delivered,Customer,Tier 2,Southwest,No,,,,,,,Marcus Webb
CM-11564,CON-51564,CY26 Q1 - Industry - NTL Miami Conference,Industry Events,2026-01-21,Badge Scan,Customer,Enterprise,West,No,,,,,,,James O'Brien
CM-11951,CON-51951,CY26 Q1 - Webinar - PI Firm Cash Flow Deep Dive,Webinar,2026-03-14,Attended,Prospect,Tier 2,West,No,,,,,,,Rachel Torres
CM-12023,CON-52023,CY26 Q1 - Email - Case Study McCready Law,Email Marketing,2026-02-01,Clicked,Customer,Enterprise,West,No,,,,,,,David Kim
CM-10106,CON-50106,CY26 Q1 - Hosted - Big East Tournament - 2026-03-13,Hosted Events,2026-03-18,Registered,Prospect,Enterprise,West,No,,,,,,,James O'Brien
CM-12077,CON-52077,CY26 Q1 - Email - Express Demands Launch,Email Marketing,2026-03-05,Clicked,Customer,Tier 2,West,No,,,,,,,Sarah Mitchell
CM-12292,CON-52292,[Paid Search],Paid Search,2026-03-11,-,Prospect,Tier 2,Midwest,Yes,2026-03-23,OPP-80227,2026-03-26,32700.0,Negotiation,,Sarah Mitchell
CM-12410,CON-52410,[Organic Search],Organic Search,2026-03-20,-,Prospect,Tier 1,Southwest,No,,,,,,,Sarah Mitchell
CM-11502,CON-51502,CY26 Q1 - Industry - NTL Miami Conference,Industry Events,2026-01-19,Badge Scan,Customer,Tier 2,Southeast,No,,,,,,,Marcus Webb
CM-10225,CON-50225,CY26 Q1 - Hosted - Cabot Citrus Golf - 2026-02-08,Hosted Events,2026-02-06,Attended,Customer,Tier 1,Northeast,No,,,,,,,Sarah Mitchell
CM-10547,CON-50547,CY26 Q1 direct-mail-1few-apple-watch (1/30/26),Direct Mail,2026-02-04,-,Customer,Tier 1,Midwest,No,,,,,,,Rachel Torres
CM-10894,CON-50894,CY26 Q1 direct-mail-1many-desk-clock (2/20/2026),Direct Mail,2026-02-21,Gift Delivered,Customer,Tier 2,Southeast,No,,,,,,,James O'Brien
CM-10367,CON-50367,CY26 Q1 - Hosted - Elevate Conference Utah Dinner - 2026-02-05,Hosted Events,2026-02-09,Attended,Prospect,Tier 2,Southeast,Yes,2026-03-02,OPP-80082,2026-03-12,53500.0,Negotiation,,Marcus Webb
CM-12076,CON-52076,CY26 Q1 - Email - Express Demands Launch,Email Marketing,2026-03-05,-,Prospect,Tier 1,Midwest,No,,,,,,,James O'Brien
CM-12418,CON-52418,[Organic Search],Organic Search,2026-02-03,-,Prospect,Tier 2,Midwest,No,,,,,,,James O'Brien
CM-10458,CON-50458,CY26 Q1 - Hosted - Golden State Warriors vs Denver Nuggets - 2026-02-02,Hosted Events,2026-02-07,Attended,Churned,Enterprise,Southeast,Yes,2026-02-24,OPP-80100,2026-03-04,219600.0,Closed Won,219600.0,Rachel Torres
CM-10973,CON-50973,CY26 Q1 direct-mail-1many-desk-clock (2/20/2026),Direct Mail,2026-02-22,Gift Delivered,Prospect,Tier 2,Northeast,No,,,,,,,David Kim
CM-11943,CON-51943,CY26 Q1 - Webinar - PI Firm Cash Flow Deep Dive,Webinar,2026-03-08,Attended,Prospect,Tier 2,Northeast,No,,,,,,,James O'Brien
CM-10090,CON-50090,CY26 Q1 - Hosted - Big East Tournament - 2026-03-13,Hosted Events,2026-03-18,Attended,Customer,Tier 1,Midwest,No,,,,,,,Sarah Mitchell
CM-11829,CON-51829,CY26 Q1 - Webinar - Settlement Benchmarks Report,Webinar,2026-02-11,No Show,Customer,Tier 1,Southwest,No,,,,,,,Rachel Torres
CM-10057,CON-50057,CY26 Q1 - Hosted - ATL Peach Bowl - 2026-01-09,Hosted Events,2026-01-12,Registered,Customer,Enterprise,West,No,,,,,,,Rachel Torres
CM-11612,CON-51612,CY26 Q1 - Industry - AAJ Winter Convention,Industry Events,2026-02-11,Badge Scan,Customer,Tier 1,West,No,,,,,,,David Kim
CM-10014,CON-50014,CY26 Q1 - Hosted - AAJ Yacht Party - 2026-02-21,Hosted Events,2026-02-24,No Show,Prospect,Enterprise,Southwest,No,,,,,,,James O'Brien
CM-11900,CON-51900,CY26 Q1 - Webinar - PI Firm Cash Flow Deep Dive,Webinar,2026-03-13,No Show,Prospect,Tier 1,Southwest,No,,,,,,,Rachel Torres
CM-10977,CON-50977,CY26 Q1 direct-mail-1many-desk-clock (2/20/2026),Direct Mail,2026-02-22,Gift Delivered,Customer,Tier 2,Midwest,No,,,,,,,Rachel Torres
CM-11569,CON-51569,CY26 Q1 - Industry - NTL Miami Conference,Industry Events,2026-01-20,Visited Booth,Prospect,Tier 1,Southeast,No,,,,,,,Sarah Mitchell
CM-12509,CON-52509,[Direct Traffic],Direct Traffic,2026-02-04,-,Customer,Tier 2,Northeast,No,,,,,,,David Kim
CM-11850,CON-51850,CY26 Q1 - Webinar - Settlement Benchmarks Report,Webinar,2026-02-13,Attended,Prospect,Enterprise,West,No,,,,,,,David Kim
CM-12233,CON-52233,[Paid Search],Paid Search,2026-01-25,-,Prospect,Tier 2,Southwest,No,,,,,,,Rachel Torres
CM-12446,CON-52446,[Organic Search],Organic Search,2026-01-28,-,Prospect,Tier 1,Southeast,No,,,,,,,Marcus Webb
CM-12177,CON-52177,[Paid Search],Paid Search,2026-02-04,-,Prospect,Tier 1,Southwest,No,,,,,,,Marcus Webb
CM-12400,CON-52400,[Organic Search],Organic Search,2026-03-02,-,Prospect,Tier 2,Midwest,Yes,2026-03-12,OPP-80233,2026-03-16,35400.0,Negotiation,,Marcus Webb
CM-11873,CON-51873,CY26 Q1 - Webinar - Settlement Benchmarks Report,Webinar,2026-02-17,No Show,Prospect,Enterprise,Southeast,No,,,,,,,Marcus Webb
CM-11733,CON-51733,CY26 Q1 - Industry - Mass Torts Made Perfect,Industry Events,2026-03-06,Visited Booth,Prospect,Tier 1,Southwest,No,,,,,,,Rachel Torres
CM-10721,CON-50721,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-07,Gift Delivered,Customer,Enterprise,Southeast,No,,,,,,,David Kim
CM-11138,CON-51138,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-07,Gift Delivered,Customer,Enterprise,Southeast,No,,,,,,,Marcus Webb
CM-11584,CON-51584,CY26 Q1 - Industry - AAJ Winter Convention,Industry Events,2026-02-14,Attended,Prospect,Tier 1,Midwest,Yes,2026-02-23,OPP-80175,2026-03-23,17200.0,Discovery,,Sarah Mitchell
CM-12356,CON-52356,[Organic Search],Organic Search,2026-03-21,-,Prospect,Tier 2,Northeast,No,,,,,,,Marcus Webb
CM-12027,CON-52027,CY26 Q1 - Email - Case Study McCready Law,Email Marketing,2026-02-05,Clicked,Prospect,Tier 2,Southeast,No,,,,,,,James O'Brien
CM-12216,CON-52216,[Paid Search],Paid Search,2026-03-15,-,Churned,Tier 1,Midwest,No,,,,,,,James O'Brien
CM-11099,CON-51099,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-10,Gift Delivered,Prospect,Tier 2,Southeast,No,,,,,,,Sarah Mitchell
CM-12324,CON-52324,[Paid Social],Paid Social,2026-01-11,-,Prospect,Tier 2,Southwest,Yes,2026-01-20,,,,,,David Kim
CM-12205,CON-52205,[Paid Search],Paid Search,2026-03-05,-,Prospect,Tier 2,Northeast,No,,,,,,,James O'Brien
CM-12241,CON-52241,[Paid Search],Paid Search,2026-03-17,-,Prospect,Tier 2,Southeast,Yes,2026-03-31,OPP-80221,2026-03-31,24800.0,Negotiation,,Marcus Webb
CM-11622,CON-51622,CY26 Q1 - Industry - AAJ Winter Convention,Industry Events,2026-02-11,Registered,Prospect,Tier 2,Southeast,No,,,,,,,David Kim
CM-12387,CON-52387,[Organic Search],Organic Search,2026-01-09,-,Customer,Tier 2,Southeast,No,,,,,,,Sarah Mitchell
CM-11632,CON-51632,CY26 Q1 - Industry - AAJ Winter Convention,Industry Events,2026-02-14,Registered,Prospect,Tier 1,Northeast,No,,,,,,,James O'Brien
CM-11611,CON-51611,CY26 Q1 - Industry - AAJ Winter Convention,Industry Events,2026-02-10,Visited Booth,Prospect,Tier 1,Northeast,Yes,2026-02-23,,,,,,Sarah Mitchell
CM-10196,CON-50196,CY26 Q1 - Hosted - Buffalo Sabres - 2026-02-05,Hosted Events,2026-02-05,Attended,Prospect,Tier 1,Southeast,No,,,,,,,James O'Brien
CM-12180,CON-52180,[Paid Search],Paid Search,2026-02-20,-,Prospect,Tier 1,Northeast,Yes,2026-02-27,OPP-80214,2026-03-10,71000.0,Discovery,,James O'Brien
CM-12530,CON-52530,[Direct Traffic],Direct Traffic,2026-01-15,-,Prospect,Tier 1,Midwest,No,,,,,,,James O'Brien
CM-10152,CON-50152,CY26 Q1 - Hosted - Broncos Playoff Game - 2026-01-17,Hosted Events,2026-01-17,Attended,Customer,Tier 2,Southwest,No,,,,,,,Sarah Mitchell
CM-10618,CON-50618,CY26 Q1 direct-mail-1few-citrus-golf (1/22/26),Direct Mail,2026-01-21,Gift Delivered,Customer,Enterprise,Southeast,No,,,,,,,Marcus Webb
CM-12431,CON-52431,[Organic Search],Organic Search,2026-02-06,-,Churned,Enterprise,Southwest,No,,,,,,,James O'Brien
CM-10915,CON-50915,CY26 Q1 direct-mail-1many-desk-clock (2/20/2026),Direct Mail,2026-02-18,Gift Delivered,Prospect,Enterprise,Midwest,No,,,,,,,David Kim
CM-11199,CON-51199,CY26 Q1 direct-mail-1many-journal-socks (2/20/2026),Direct Mail,2026-02-18,Gift Delivered,Prospect,Enterprise,Southwest,No,,,,,,,James O'Brien
CM-12185,CON-52185,[Paid Search],Paid Search,2026-03-17,-,Prospect,Tier 2,West,No,,,,,,,Sarah Mitchell
CM-10451,CON-50451,CY26 Q1 - Hosted - Golden State Warriors vs Denver Nuggets - 2026-02-02,Hosted Events,2026-02-05,Registered,Prospect,Tier 1,Midwest,No,,,,,,,Rachel Torres
CM-12031,CON-52031,CY26 Q1 - Email - Case Study McCready Law,Email Marketing,2026-01-31,-,Customer,Tier 2,Southwest,No,,,,,,,James O'Brien
CM-10710,CON-50710,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-04,Gift Delivered,Churned,Tier 1,West,No,,,,,,,Marcus Webb
CM-10118,CON-50118,CY26 Q1 - Hosted - Boston Bruins vs NY Rangers - 2026-01-10,Hosted Events,2026-01-12,Attended,Prospect,Tier 1,Northeast,No,,,,,,,David Kim
CM-10796,CON-50796,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-05,Gift Delivered,Customer,Enterprise,Midwest,No,,,,,,,Sarah Mitchell
CM-11518,CON-51518,CY26 Q1 - Industry - NTL Miami Conference,Industry Events,2026-01-23,Visited Booth,Customer,Enterprise,Midwest,No,,,,,,,Rachel Torres
CM-12232,CON-52232,[Paid Search],Paid Search,2026-01-07,-,Customer,Tier 2,Northeast,No,,,,,,,James O'Brien
CM-10103,CON-50103,CY26 Q1 - Hosted - Big East Tournament - 2026-03-13,Hosted Events,2026-03-16,Attended,Customer,Tier 1,Southeast,No,,,,,,,Rachel Torres
CM-11203,CON-51203,CY26 Q1 direct-mail-1many-journal-socks (2/20/2026),Direct Mail,2026-02-18,Gift Delivered,Prospect,Tier 2,West,No,,,,,,,Sarah Mitchell
CM-11875,CON-51875,CY26 Q1 - Webinar - Settlement Benchmarks Report,Webinar,2026-02-15,Attended,Prospect,Enterprise,West,No,,,,,,,Sarah Mitchell
CM-12259,CON-52259,[Paid Search],Paid Search,2026-02-03,-,Customer,Enterprise,Midwest,No,,,,,,,Marcus Webb
CM-12523,CON-52523,[Direct Traffic],Direct Traffic,2026-02-12,-,Customer,Enterprise,Midwest,No,,,,,,,David Kim
CM-11816,CON-51816,CY26 Q1 - Webinar - AI Demand Letter Best Practices,Webinar,2026-01-17,Registered,Prospect,Tier 2,Southeast,No,,,,,,,James O'Brien
CM-11271,CON-51271,CY26 Q1 direct-mail-1many-journal-socks (2/20/2026),Direct Mail,2026-02-20,Gift Delivered,Churned,Tier 2,Southeast,No,,,,,,,James O'Brien
CM-11821,CON-51821,CY26 Q1 - Webinar - Settlement Benchmarks Report,Webinar,2026-02-15,Attended,Churned,Enterprise,West,No,,,,,,,Marcus Webb
CM-12526,CON-52526,[Direct Traffic],Direct Traffic,2026-02-20,-,Prospect,Enterprise,Southwest,No,,,,,,,Marcus Webb
CM-12215,CON-52215,[Paid Search],Paid Search,2026-01-15,-,Prospect,Tier 1,Northeast,No,,,,,,,Rachel Torres
CM-10539,CON-50539,CY26 Q1 - Hosted - Hurricanes vs Detroit Red Wings - 2026-02-28,Hosted Events,2026-02-27,No Show,Prospect,Enterprise,Southwest,Yes,2026-03-16,OPP-80119,2026-03-30,278700.0,Negotiation,,David Kim
CM-10020,CON-50020,CY26 Q1 - Hosted - AAJ Yacht Party - 2026-02-21,Hosted Events,2026-02-23,No Show,Churned,Enterprise,Southwest,No,,,,,,,Rachel Torres
CM-10310,CON-50310,CY26 Q1 - Hosted - Cleveland Cavaliers vs NY Knicks - 2026-02-24,Hosted Events,2026-02-22,Attended,Customer,Tier 2,Northeast,No,,,,,,,Sarah Mitchell
CM-10519,CON-50519,CY26 Q1 - Hosted - Hurricanes vs Detroit Red Wings - 2026-02-28,Hosted Events,2026-02-27,No Show,Prospect,Tier 2,Midwest,No,,,,,,,Rachel Torres
CM-10509,CON-50509,CY26 Q1 - Hosted - HMR After Dark Party - 2026-01-26,Hosted Events,2026-01-26,Attended,Customer,Tier 2,Midwest,No,,,,,,,David Kim
CM-10674,CON-50674,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-03,Gift Delivered,Prospect,Tier 2,Southwest,Yes,2026-01-05,OPP-80133,2026-01-19,49800.0,Discovery,,David Kim
CM-11706,CON-51706,CY26 Q1 - Industry - Mass Torts Made Perfect,Industry Events,2026-03-05,Attended,Prospect,Tier 2,Midwest,No,,,,,,,James O'Brien
CM-11015,CON-51015,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-06,Gift Delivered,Prospect,Enterprise,Midwest,No,,,,,,,James O'Brien
CM-11924,CON-51924,CY26 Q1 - Webinar - PI Firm Cash Flow Deep Dive,Webinar,2026-03-08,Attended,Prospect,Tier 2,West,No,,,,,,,Sarah Mitchell
CM-12462,CON-52462,[Organic Social],Organic Social,2026-02-17,-,Prospect,Enterprise,Southwest,No,,,,,,,Marcus Webb
CM-11152,CON-51152,CY26 Q1 direct-mail-1many-fortune-cookies (2/06/2026),Direct Mail,2026-02-06,Gift Delivered,Customer,Tier 1,Southeast,No,,,,,,,Marcus Webb
CM-11229,CON-51229,CY26 Q1 direct-mail-1many-journal-socks (2/20/2026),Direct Mail,2026-02-20,Gift Delivered,Prospect,Enterprise,Southeast,No,,,,,,,Rachel Torres
CM-11985,CON-51985,CY26 Q1 - Email - January Product Update,Email Marketing,2026-01-07,Opened,Prospect,Enterprise,Midwest,No,,,,,,,David Kim
CM-10315,CON-50315,CY26 Q1 - Hosted - Cleveland Cavaliers vs NY Knicks - 2026-02-24,Hosted Events,2026-02-26,Attended,Prospect,Enterprise,Southwest,Yes,2026-02-27,OPP-80067,2026-03-05,177900.0,Closed Won,177900.0,Sarah Mitchell
CM-10765,CON-50765,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-08,Gift Delivered,Prospect,Tier 2,Southwest,No,,,,,,,David Kim
CM-11284,CON-51284,CY26 Q1 direct-mail-1many-oreos-6pack (2/20/2026),Direct Mail,2026-02-19,Gift Delivered,Customer,Tier 2,Midwest,No,,,,,,,Rachel Torres
CM-11459,CON-51459,CY26 Q1 - Industry - NTL Miami Conference,Industry Events,2026-01-24,Registered,Prospect,Enterprise,Northeast,Yes,2026-01-26,OPP-80158,2026-01-29,111500.0,Discovery,,James O'Brien
CM-10686,CON-50686,CY26 Q1 direct-mail-1many-socks-journal (1/05/2026),Direct Mail,2026-01-06,Gift Delivered,Prospect,Enterprise,Southeast,No,,,,,,,David Kim
